CD,Incumbent,Party,Clinton,Trump,Winner,,,
MN-05,"Ellison, Keith",(D),73.7,18.5,Clinton,,,
MN-06,"Emmer, Tom",(R),33.2,58.9,Trump,,,
MN-07,"Peterson, Collin",(D),31.0,61.8,Trump,,,
MN-08,"Nolan, Rick",(D),38.6,54.2,Trump,,,
MO-01,"Clay, Lacy",(D),77.0,18.8,Clinton,,,
MO-02,"Wagner, Ann",(R),42.3,52.6,Trump,,,
MO-03,"Luetkemeyer, Blaine",(R),28.1,67.1,Trump,,,
MO-04,"Hartzler, Vicki",(R),29.3,65.3,Trump,,,
MO-05,"Cleaver, Emanuel",(D),54.1,40.6,Clinton,,,
MO-06,"Graves, Sam",(R),31.7,63.1,Trump,,,
MO-07,"Long, Billy",(R),24.7,70.4,Trump,,,
MO-08,"Smith, Jason",(R),21.0,75.4,Trump,,,
MS-01,"Kelly, Trent",(R),32.4,65.4,Trump,,,
MS-02,"Thompson, Bennie",(D),63.6,35.1,Clinton,,,
MS-03,"Harper, Gregg",(R),36.8,61.3,Trump,,,
MS-04,"Palazzo, Steven",(R),28.2,69.4,Trump,,,
MT-AL,"Gianforte, Greg",(R),35.9,56.5,Trump,,,
NC-01,"Butterfield, G.K.",(D),67.5,30.5,Clinton,,,
NC-02,"Holding, George",(R),43.6,53.2,Trump,,,
NC-03,"Jones, Walter",(R),36.9,60.5,Trump,,,
NC-04,"Price, David",(D),68.2,28.2,Clinton,,,
NC-05,"Foxx, Virginia",(R),39.8,57.4,Trump,,,
NC-06,"Walker, Mark",(R),41.4,56.1,Trump,,,
NC-07,"Rouzer, David",(R),39.9,57.6,Trump,,,
NC-08,"Hudson, Richard",(R),41.1,56.1,Trump,,,
NC-09,"Pittenger, Robert",(R),42.8,54.4,Trump,,,
NC-10,"McHenry, Patrick",(R),36.4,61.0,Trump,,,
NC-11,"Meadows, Mark",(R),34.0,63.2,Trump,,,
NC-12,"Adams, Alma",(D),68.4,28.4,Clinton,,,
NC-13,"Budd, Ted",(R),44.0,53.4,Trump,,,
ND-AL,"Cramer, Kevin",(R),27.7,64.1,Trump,,,
NE-01,"Fortenberry, Jeff",(R),36.2,57.5,Trump,,,
NE-02,"Bacon, Don",(R),46.0,48.2,Trump,,,
NE-03,"Smith, Adrian",(R),20.0,74.9,Trump,,,
NH-01,"Shea-Porter, Carol",(D),46.6,48.2,Trump,,,
NH-02,"Kuster, Annie",(D),48.6,46.2,Clinton,,,
NJ-01,"Norcross, Donald",(D),60.6,36.1,Clinton,,,
NJ-02,"LoBiondo, Frank",(R),46.0,50.6,Trump,,,
NJ-03,"MacArthur, Tom",(R),45.2,51.4,Trump,,,
NJ-04,"Smith, Chris",(R),41.0,55.8,Trump,,,
NJ-05,"Gottheimer, Josh",(D),47.7,48.8,Trump,,,
NJ-06,"Pallone, Frank",(D),56.2,40.6,Clinton,,,
NJ-07,"Lance, Leonard",(R),48.6,47.5,Clinton,,,
NJ-08,"Sires, Albio",(D),75.7,21.5,Clinton,,,
NJ-09,"Pascrell, Bill",(D),64.3,33.1,Clinton,,,
NJ-10,"Payne, Donald",(D),85.2,12.8,Clinton,,,
NJ-11,"Frelinghuysen, Rodney",(R),47.9,48.8,Trump,,,
NJ-12,"Watson Coleman, Bonnie",(D),65.0,31.8,Clinton,,,
NM-01,"Lujan Grisham, Michelle",(D),51.6,35.1,Clinton,,,
NM-02,"Pearce, Steve",(R),39.9,50.1,Trump,,,
NM-03,"Lujan, Ben",(D),51.8,36.7,Clinton,,,
NV-01,"Titus, Dina",(D),61.6,32.6,Clinton,,,
NV-02,"Amodei, Mark",(R),39.7,52.0,Trump,,,
NV-03,"Rosen, Jacky",(D),46.5,47.5,Trump,,,
NV-04,"Kihuen, Ruben",(D),49.5,44.6,Clinton,,,
NY-01,"Zeldin, Lee",(R),42.2,54.5,Trump,,,
NY-02,"King, Peter",(R),43.9,53.0,Trump,,,
NY-03,"Suozzi, Tom",(D),51.6,45.5,Clinton,,,
NY-04,"Rice, Kathleen",(D),53.4,43.8,Clinton,,,
NY-05,"Meeks, Gregory",(D),85.7,12.7,Clinton,,,
NY-06,"Meng, Grace",(D),65.1,32.1,Clinton,,,
NY-07,"Velazquez, Nydia",(D),86.9,10.4,Clinton,,,
NY-08,"Jeffries, Hakeem",(D),84.6,13.5,Clinton,,,
NY-09,"Clarke, Yvette",(D),83.5,14.4,Clinton,,,
NY-10,"Nadler, Jerrold",(D),78.3,18.8,Clinton,,,
NY-11,"Donovan, Dan",(R),43.8,53.6,Trump,,,
NY-12,"Maloney, Carolyn",(D),83.3,13.5,Clinton,,,
NY-13,"Espaillat, Adriano",(D),92.3,5.4,Clinton,,,
NY-14,"Crowley, Joe",(D),77.7,19.8,Clinton,,,
NY-15,"Serrano, Jose",(D),93.8,4.9,Clinton,,,
NY-16,"Engel, Eliot",(D),75.1,22.5,Clinton,,,
NY-17,"Lowey, Nita",(D),58.6,38.4,Clinton,,,
NY-18,"Maloney, Sean",(D),47.1,49.0,Trump,,,
NY-19,"Faso, John",(R),44.0,50.8,Trump,,,
NY-20,"Tonko, Paul",(D),54.0,40.5,Clinton,,,
NY-21,"Stefanik, Elise",(R),40.0,53.9,Trump,,,
NY-22,"Tenney, Claudia",(R),39.3,54.8,Trump,,,
NY-23,"Reed, Tom",(R),39.7,54.5,Trump,,,
NY-24,"Katko, John",(R),48.9,45.3,Clinton,,,
NY-25,"Slaughter, Louise",(D),55.5,39.1,Clinton,,,
NY-26,"Higgins, Brian",(D),57.6,38.0,Clinton,,,
NY-27,"Collins, Chris",(R),35.2,59.7,Trump,,,
OH-01,"Chabot, Steve",(R),44.6,51.2,Trump,,,
OH-02,"Wenstrup, Brad",(R),39.7,55.8,Trump,,,
OH-03,"Beatty, Joyce",(D),67.0,28.6,Clinton,,,
OH-04,"Jordan, Jim",(R),30.7,64.3,Trump,,,
OH-05,"Latta, Bob",(R),34.6,59.7,Trump,,,
OH-06,"Johnson, Bill",(R),26.7,69.3,Trump,,,
OH-07,"Gibbs, Bob",(R),32.8,62.5,Trump,,,
OH-08,"Davidson, Warren",(R),30.6,65.1,Trump,,,
OH-09,"Kaptur, Marcy",(D),58.7,36.5,Clinton,,,
OH-10,"Turner, Michael",(R),44.0,51.3,Trump,,,
OH-11,"Fudge, Marcia",(D),80.5,17.0,Clinton,,,
OH-12,"Balderson, Troy",(R),41.9,53.2,Trump,,,
OH-13,"Ryan, Tim",(D),51.1,44.6,Clinton,,,
OH-14,"Joyce, David",(R),42.1,53.6,Trump,,,
OH-15,"Stivers, Steve",(R),39.9,55.3,Trump,,,
OH-16,"Renacci, Jim",(R),39.5,56.1,Trump,,,
OK-01,,(R),32.7,61.4,Trump,,,
OK-02,"Mullin, Markwayne",(R),22.8,72.9,Trump,,,
OK-03,"Lucas, Frank",(R),20.9,73.6,Trump,,,
OK-04,"Cole, Tom",(R),28.3,65.7,Trump,,,
OK-05,"Russell, Steve",(R),39.8,53.2,Trump,,,
OR-01,"Bonamici, Suzanne",(D),57.3,34.5,Clinton,,,
OR-02,"Walden, Greg",(R),36.4,56.5,Trump,,,
OR-03,"Blumenauer, Earl",(D),70.7,22.5,Clinton,,,
OR-04,"DeFazio, Peter",(D),46.1,46.0,Clinton,,,
OR-05,"Schrader, Kurt",(D),48.3,44.1,Clinton,,,
PA-01,"Brady, Bob",(D),79.5,18.2,Clinton,,,
PA-02,"Evans, Dwight",(D),90.4,7.6,Clinton,,,
PA-03,"Kelly, Mike",(R),35.0,61.1,Trump,,,
PA-04,"Perry, Scott",(R),37.1,58.6,Trump,,,
PA-05,"Thompson, Glenn",(R),33.5,62.3,Trump,,,
PA-06,"Costello, Ryan",(R),48.2,47.6,Clinton,,,
PA-07,"Meehan, Pat",(R),49.3,47.0,Clinton,,,
PA-08,"Fitzpatrick, Brian",(R),48.0,48.2,Trump,,,
PA-09,"Schuster, Bill",(R),27.2,69.7,Trump,,,
PA-10,"Marino, Tom",(R),30.1,66.1,Trump,,,
PA-11,"Barletta, Lou",(R),36.2,60.0,Trump,,,
PA-12,"Rothfus, Keith",(R),37.9,58.7,Trump,,,
PA-13,"Boyle, Brendan",(D),65.3,31.7,Clinton,,,
PA-14,"Doyle, Michael",(D),66.0,30.5,Clinton,,,
PA-15,"Dent, Charlie",(R),44.2,51.8,Trump,,,
PA-16,"Smucker, Lloyd",(R),44.2,51.0,Trump,,,
PA-17,"Cartwright, Matt",(D),43.3,53.4,Trump,,,
PA-18,,(R),38.5,58.1,Trump,,,
RI-01,"Cicilline, David",(D),60.5,34.9,Clinton,,,
RI-02,"Langevin, Jim",(D),51.1,44.0,Clinton,,,
SC-01,"Sanford, Mark",(R),40.4,53.5,Trump,,,
SC-02,"Wilson, Joe",(R),38.6,56.3,Trump,,,
SC-03,"Duncan, Jeff",(R),29.0,67.0,Trump,,,
SC-04,"Gowdy, Trey",(R),34.5,60.2,Trump,,,
SC-05,"Norman, Ralph",(R),38.8,57.3,Trump,,,
SC-06,"Clyburn, Jim",(D),66.8,30.3,Clinton,,,
SC-07,"Rice, Tom",(R),39.1,58.0,Trump,,,
SD-AL,"Noem, Kristi",(R),31.7,61.5,Trump,,,
TN-01,"Roe, Phil",(R),19.7,76.7,Trump,,,
TN-02,"Duncan, John",(R),29.7,65.1,Trump,,,
TN-03,"Fleischmann, Chuck",(R),30.2,65.4,Trump,,,
TN-04,"DesJarlais, Scott",(R),27.4,68.6,Trump,,,
TN-05,"Cooper, Jim",(D),56.6,38.2,Clinton,,,
TN-06,"Black, Diane",(R),23.7,72.6,Trump,,,
TN-07,"Blackburn, Marsha",(R),28.2,67.5,Trump,,,
TN-08,"Kustoff, David",(R),30.7,66.3,Trump,,,
TN-09,"Cohen, Steve",(D),77.5,19.8,Clinton,,,
TX-01,"Gohmert, Louie",(R),25.3,72.2,Trump,,,
TX-02,"Poe, Ted",(R),43.1,52.4,Trump,,,
TX-03,"Johnson, Sam",(R),40.6,54.8,Trump,,,
TX-04,"Ratcliffe, John",(R),21.8,75.4,Trump,,,
TX-05,"Hensarling, Jeb",(R),34.3,62.7,Trump,,,
TX-06,"Barton, Joe",(R),41.9,54.2,Trump,,,
TX-07,"Culberson, John",(R),48.5,47.1,Clinton,,,
TX-08,"Brady, Kevin",(R),23.9,72.7,Trump,,,
TX-09,"Green, Al",(D),79.3,18.0,Clinton,,,
TX-10,"McCaul, Michael",(R),43.2,52.3,Trump,,,
TX-11,"Conaway, Michael",(R),19.1,77.8,Trump,,,
TX-12,"Granger, Kay",(R),32.7,62.9,Trump,,,
TX-13,"Thornberry, Mac",(R),16.9,79.9,Trump,,,
TX-14,"Weber, Randy",(R),38.4,58.2,Trump,,,
TX-15,"Gonzalez, Vicente",(D),56.7,40.0,Clinton,,,
TX-16,"O'Rourke, Beto",(D),67.9,27.2,Clinton,,,
TX-17,"Flores, Bill",(R),38.8,56.3,Trump,,,
TX-18,"Jackson-Lee, Sheila",(D),76.5,20.0,Clinton,,,
TX-19,"Arrington, Jodey",(R),23.5,72.5,Trump,,,
TX-20,"Castro, Joaquin",(D),61.0,34.3,Clinton,,,
TX-21,"Smith, Lamar",(R),42.5,52.5,Trump,,,
TX-22,"Olson, Pete",(R),44.2,52.1,Trump,,,
TX-23,"Hurd, Will",(R),49.8,46.4,Clinton,,,
TX-24,"Marchant, Kenny",(R),44.5,50.7,Trump,,,
TX-25,"Williams, Roger",(R),40.2,55.1,Trump,,,
TX-26,"Burgess, Michael",(R),34.4,60.9,Trump,,,
TX-27,,(R),36.5,60.1,Trump,,,
TX-28,"Cuellar, Henry",(D),58.3,38.5,Clinton,,,
TX-29,"Green, Gene",(D),71.1,25.4,Clinton,,,
TX-30,"Johnson, E.B.",(D),79.1,18.3,Clinton,,,
TX-31,"Carter, John",(R),40.8,53.5,Trump,,,
TX-32,"Sessions, Pete",(R),48.5,46.6,Clinton,,,
TX-33,"Veasey, Marc",(D),72.9,23.7,Clinton,,,
TX-34,"Vela, Filemon",(D),59.2,37.7,Clinton,,,
TX-35,"Doggett, Lloyd",(D),64.1,30.5,Clinton,,,
TX-36,"Babin, Brian",(R),25.2,72.0,Trump,,,
UT-01,"Bishop, Rob",(R),22.4,49.7,Trump,,,
UT-02,"Stewart, Chris",(R),32.0,46.0,Trump,,,
UT-03,"Curtis, John",(R),23.3,47.2,Trump,,,
UT-04,"Love, Mia",(R),32.4,39.1,Trump,,,
VA-01,"Wittman, Rob",(R),41.2,53.6,Trump,,,
VA-02,"Taylor, Scott",(R),45.4,48.8,Trump,,,
VA-03,"Scott, Bobby",(D),63.6,31.9,Clinton,,,
VA-04,"McEachin, Donald",(D),58.7,37.1,Clinton,,,
VA-05,"Garrett, Tom",(R),42.3,53.4,Trump,,,
VA-06,"Goodlatte, Bob",(R),34.9,59.7,Trump,,,
VA-07,"Brat, Dave",(R),44.0,50.5,Trump,,,
VA-08,"Beyer, Don",(D),73.5,20.9,Clinton,,,
VA-09,"Griffith, Morgan",(R),27.3,68.8,Trump,,,
VA-10,"Comstock, Barbara",(R),52.2,42.2,Clinton,,,
VA-11,"Connolly, Gerry",(D),66.9,27.5,Clinton,,,
VT-AL,"Welch, Peter",(D),56.7,30.3,Clinton,,,
WA-01,"DelBene, Suzan",(D),54.1,37.8,Clinton,,,
WA-02,"Larsen, Rick",(D),56.9,34.8,Clinton,,,
WA-03,"Herrera Beutler, Jaime",(R),42.5,49.9,Trump,,,
WA-04,"Newhouse, Dan",(R),35.1,57.9,Trump,,,
WA-05,"McMorris Rodgers, Cathy",(R),39.1,52.2,Trump,,,
WA-06,"Kilmer, Derek",(D),51.8,39.5,Clinton,,,
WA-07,"Jayapal, Pramila",(D),82.1,12.2,Clinton,,,
WA-08,"Reichert, David",(R),47.7,44.7,Clinton,,,
WA-09,"Smith, Adam",(D),70.5,23.3,Clinton,,,
WA-10,"Heck, Denny",(D),51.3,39.9,Clinton,,,
WI-01,"Ryan, Paul",(R),42.3,52.6,Trump,,,
WI-02,"Pocan, Mark",(D),65.8,29.0,Clinton,,,
WI-03,"Kind, Ron",(D),44.8,49.3,Trump,,,
WI-04,"Moore, Gwen",(D),74.0,21.8,Clinton,,,
WI-05,"Sensenbrenner, Jim",(R),37.3,57.4,Trump,,,
WI-06,"Grothman, Glenn",(R),38.8,55.7,Trump,,,
WI-07,"Duffy, Sean",(R),37.3,57.8,Trump,,,
WI-08,"Gallagher, Mike",(R),38.6,56.2,Trump,,,
WV-01,"McKinley, David",(R),26.4,68.0,Trump,,,
WV-02,"Mooney, Alex",(R),29.4,65.8,Trump,,,
WV-03,"Jenkins, Evan",(R),23.3,72.5,Trump,,,
WY-AL,"Cheney, Liz",(R),22.5,70.1,Trump,,,